tipo_adqui,orign_recur,contratacion_sk
AdjudicaciÃ³n Directa,Recursos Federales Ramo 12,1
Aa-12-Nef-012Nef001-I-186-2024,Recursos Federales Ramo 12,2
Aa-12-Nef-012Nef001-I-190-2024,Recursos Federales Ramo 12,3
Aa-12-Nef-012Nef001-T-185-2024,Recursos Federales Ramo 12,4
Aa-12-Nef-012Nef001-I-6-2025,Recursos Federales Ramo 12,5
Aa-12-Nef-012Nef001-I-12-2025,Recursos Federales Ramo 12,6
La-12-Nef-012Nef001-I-1-2025,Recursos Federales Ramo 12,7
Aa-12-Nef-012Nef001-I-7-2025,Recursos Federales Ramo 12,8
Aa-12-Nef-012Nef001-I-16-2025,Recursos Federales Ramo 12,9
Aa-12-Nef-012Nef001-I-8-2025,Recursos Federales Ramo 12,10
Aa-12-Nef-012Nef001-I-5-2025,Recursos Federales Ramo 12,11
Aa-12-Nef-012Nef001-I-10-2025,Recursos Federales Ramo 12,12
Aa-12-Nef-012Nef001-I-17-2025,Recursos Federales Ramo 12,13
Aa-12-Nef-012Nef001-I-31-2025,Recursos Federales Ramo 12,14
Ia-12-Nef-012Nef001-I-30-2025,Recursos Federales Ramo 12,15
Aa-12-Nef-012Nef001-I-45-2025,Recursos Federales Ramo 12,16
Aa-12-Nef-012Nef001-I-46-2025,Recursos Federales Ramo 12,17
Aa-12-Nef-012Nef001-I-18-2025,Recursos Federales Ramo 12,18
Aa-12-Nef-012Nef001-I-36-2025,Recursos Federales Ramo 12,19
