prov,rfc,proveedor_sk
FARMACIA GYG,FGG0309129E1,1
PRODIFAM- S.A. DE C.V.,PRO840510812,2
IARE DE OCCIDENTE- S.A. DE C.V.,IOC1906149F0,3
JANSSEN-CILAG DE MXICO S DE R.L. DE,JME841261168,4
COMPAIA INTERNACIONAL MEDICA S.A,IME990322288,5
PROQUIMICA Y ALTA ESPECIALIDAD MEDICA S.A DE C.V,PAE201204H24,6
COMERCIALIZADORA PENTAMED S.A. DE C.V.,CPE061212DK0,7
ADVANTA PHARMA,APH2106111C0,8
JANSSEN-CILAG DE MXICO S DE R.L. DE,JME841231168,9
GLOBAL BUSINESS GROUP SA DE CV,GBG0409287LA,10
BIORESEARCH DE MEXICO S.A. DE C.V.,BME910712331,11
ALVARTIS PHARMA S.A. DE C.V.,APH020424BJ5,12
PROBIOMED S.A. DE C.V.,PRO780201IDA,13
FRACA- S.A.- DE C.V.,FRA9909068W7,14
ASTRAZENECA,AST961231B69,15
IMPORTADORA Y MANUFACTURERA BRULUART- S.A.,BRU0004257J9,16
AUROVIDA FARMACUTICA S.A. DE C.V.,AFA120210FL6,17
PRODUCTOS MAVER- S.A. DE C.V.,PMA930216GB2,18
VICTORY ENTERPRISES S.A DE C.V,VEN9603128D4,19
NATURALMEDIC QUIM S.A DE C.V,NQU080725TH4,20
LABORATORIOS QUIMPHARMA S.A. DE C.V.,LQU020614AP1,21
PSICOFARMA SA DE CV,PSI741010UI1,22
PFIZER SA DE CV,PFI730206632,23
BOEHRINGER INGELHEIM MXICO S.A. DE C.V.,BIM0711148Q0,24
FRESENIUS KABI MEXICO-S.A. DE C.V.,FKM4801155G8,25
LABORATORIOS SOLFRAN,LSO741128J68,26
STERN PHARMA GMBH- S.A. DE C.V.,SPG060508AF7,27
MERCK S.A. DE C.V.,MER551201D48+,28
NATURAL HEALTH II S.A DE C.V,NHI130801BT7,29
PROGELA SA DE CV,PRO720307I77,30
LABORATORIOS GROSSMAN S.A. DE C.V.,LGR530810UU8,31
TECNOFARMA S.A. DE C.V.,TEC7105046M4,32
AMAROX PHARMA- S.A. DE C..V.,CPH1512075J2,33
LABORATORIOS SILANES SA DE C.V,LSI8112153I7,34
IMPORTADORA Y MANUFACTURERA BRULUART- S.A.,IMB510327A78,35
NEOLPHARMA- S.A. DE C.V.,NEO041207F29,36
ABBOTT LABORATORIES DE MEXICO- S.A. DE C.V.,ALM84030811A,37
LABORATORIOS SCHOEN- S.A. DE C.V.,LSC130111DL8,38
NOVAG INFANCIA S.A. DE C.V.,NIN780801IH0,39
PROTEIN S.A. DE C.V.,PRO860604EE2,40
LABORATORIOS RAAM DE SAHUAYO S.A. DE C.V.,LRS030905Q16,41
LABORATORIOS PISA S.A. DE C.V.,LPI830527KJ2,42
NUCITEC SA DE CV,NUC990310RN5,43
LABORATORIOS VANQUISH- S.A. DE C.V.,LVA020208R61,44
FARMACIA GYG,LGR530810UU8,45
FARMACIA GYG,TEC7105046M4,46
FARMACIA GYG,CPH1512075J2,47
BRULUAGSA S.A DE C.V,BRU0004257J9,48
FARMACIA GYG,LSI8112153I7,49
FARMACIA GYG,IMB510327A78,50
FARMACIA GYG,LSO741128J68,51
FARMACIA GYG,NEO041207F29,52
FARMACIA GYG,ALM84030811A,53
FARMACIA GYG,FKM4801155G8,54
FARMACIA GYG,LSC130111DL8,55
FARMACIA GYG,PSI741010UI1,56
SANOFI PASTEUR,SPA960328P62,57
LABORATORIOS SYDENHAM S.A DE C.V,LSY490722BN1,58
FARMACIA GYG,APH020424BJ5,59
LUNDBECK DE MEXICO S.A. DE C.V.,LME000620PK8,60
ASOFARMA DE MEXICO SA DE CV,AME9006135H0,61
FARMACIA GYG,PAE201204H24,62
ZURICH BIO,LZB160427DJ6,63
LANDSTEINER SCIENTIFIC S.A. DE C.V.,LSC9801296MA,64
FARMACIA GYG,NIN780801IH0,65
BAYER DE MEXICO- S.A. DE C.V.,BME820511SU5,66
FARMACIA GYG,PRO860604EE2,67
FARMACIA GYG,LRS030905Q16,68
LABORATORIOS ALPHARMA- S.A. DE C.V.,LAL690421KQ0,69
INVESTIGACION FARMACEUTICA- S.A. DE C.V.,IFA8310213W1,70
LABORATORIO MEDICO QUIMICO BIOLOGICO S.A. DE C.V.,LMQ011226313,71
INDUSTRIAS QUIMICO FARMACEUTICAS AMERICANAS S.A. DE C.V.,IQF390915327,72
ULTRA LABORATORIOS S.A. DE C.V.,ULA010207TY5,73
ZYDUS PHARMACEUTICALS MEXICO- S.A. DE C.V.,ZPM1007066L8,74
CUREX PHARMACEUTICAL MEXICO,CPM230804LE3,75
EXELTIS PHARMA MEXICO,LEM040706KQ1,76
GRUPO GESBER SA DE CV,GGE141121FY5,77
ASCEND LABORATORIES,ALA210903QY2,78
